City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.0752,-159.319,23.18,86,100,6.69,US,1680963380
1,upernavik,72.7868,-56.1549,-24.98,90,100,7.56,GL,1680963476
2,san policarpo,12.1791,125.5072,26.15,81,41,4.42,PH,1680963530
3,viedma,-40.8135,-62.9967,20.13,63,65,5.03,AR,1680963270
4,mataura,-46.1927,168.8643,5.62,97,100,1.28,NZ,1680963473
5,hay river,60.8156,-115.7999,4.99,52,48,4.12,CA,1680963331
6,kosh-agach,50.0,88.6667,-2.23,61,36,5.08,RU,1680963531
7,cape town,-33.9258,18.4232,19.51,57,40,10.29,ZA,1680963300
8,esperance,-33.8667,121.9,15.2,85,100,6.22,AU,1680963426
9,geraldton,-28.7667,114.6,19.23,72,0,4.63,AU,1680963398
10,avarua,-21.2078,-159.775,26.03,89,75,2.57,CK,1680963426
11,arraial do cabo,-22.9661,-42.0278,25.98,94,100,2.57,BR,1680963532
12,vaini,-21.2,-175.2,26.09,94,75,1.03,TO,1680963473
13,chokurdakh,70.6333,147.9167,-25.03,100,67,2.69,RU,1680963417
14,bontang,0.1333,117.5,26.62,83,56,3.55,ID,1680963533
15,ushuaia,-54.8,-68.3,8.81,57,75,9.26,AR,1680963385
16,rikitea,-23.1203,-134.9692,24.67,63,89,7.83,PF,1680963474
17,ossora,59.2353,163.0719,-8.33,96,100,2.4,RU,1680963533
18,sao filipe,14.8961,-24.4956,22.55,75,100,3.97,CV,1680963534
19,butaritari,3.0707,172.7902,27.08,84,42,7.05,KI,1680963383
20,portland,45.5234,-122.6762,8.07,87,75,4.63,US,1680963380
21,thompson,55.7435,-97.8558,-3.91,68,20,5.14,CA,1680963534
22,saint-philippe,-21.3585,55.7679,27.77,82,100,3.8,RE,1680963434
23,yining,29.0361,114.5636,14.13,73,5,1.24,CN,1680963535
24,ostrovnoy,68.0531,39.5131,2.4,88,100,9.94,RU,1680963487
25,atbasar,51.8,68.3333,-2.38,57,0,2.64,KZ,1680963535
26,asau,46.4333,26.4,6.51,87,100,1.12,RO,1680963535
27,kuchinarai,16.541,104.05,28.28,56,62,4.1,TH,1680963535
28,srisailam,16.0833,78.8667,29.9,34,3,3.77,IN,1680963536
29,iwanai,42.9744,140.5089,2.54,94,100,3.26,JP,1680963536
30,bredasdorp,-34.5322,20.0403,16.26,62,100,3.27,ZA,1680963480
31,ponta do sol,32.6667,-17.1,20.35,53,82,1.16,PT,1680963536
32,kruisfontein,-34.0033,24.7314,18.82,96,100,8.26,ZA,1680963413
33,balingasay,16.3573,119.8564,27.12,79,5,4.18,PH,1680963537
34,saint george,37.1041,-113.5841,6.33,61,0,0.0,US,1680963198
35,constitucion,-35.3333,-72.4167,19.34,36,37,1.73,CL,1680963537
36,bilma,18.6853,12.9164,40.46,5,4,3.77,NE,1680963537
37,chuy,-33.6971,-53.4616,22.65,58,5,2.65,UY,1680963384
38,saint-pierre,-21.3393,55.4781,27.82,74,0,3.09,RE,1680963437
39,khatanga,71.9667,102.5,-22.59,98,97,3.74,RU,1680963538
40,teguldet,57.3064,88.1667,-5.75,83,100,5.6,RU,1680963539
41,dwarka,22.2394,68.9678,26.37,66,42,5.89,IN,1680963540
42,coxim,-18.5067,-54.76,26.45,77,100,1.11,BR,1680963540
43,kodiak,57.79,-152.4072,-2.27,69,100,4.63,US,1680963540
44,codrington,-38.2667,141.9667,12.34,65,100,8.04,AU,1680963417
45,dali,25.7,100.1833,15.82,37,0,2.92,CN,1680963540
46,along,28.1667,94.7667,19.72,71,99,0.65,IN,1680963540
